"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:AT1G01260",444.883208667074,3.91232931388702,0.332032247984757,11.7829799293068,4.77737009525996e-32,4.29695418661512e-30
"gene:AT1G01340",108.899302980196,4.19532735177265,0.696458882108606,6.02379761325009,1.70371386369243e-09,3.19620706124287e-08
"gene:AT1G01470",888.489631761488,1.11558892675573,0.347213649071068,3.2129754395899,0.00131367522726087,0.00806861530639776
"gene:AT1G01480",1401.68887750156,8.44292995769207,0.410149527212501,20.5850047300377,3.74001071135612e-94,2.5709902204351e-91
"gene:AT1G01490",765.192700829988,1.34103477911305,0.287711705310457,4.66103656667705,3.14620814676266e-06,3.7450967476121e-05
"gene:AT1G01550",1283.17294501343,2.30158652845811,0.30733542971492,7.48884217674815,6.94838316233211e-14,1.98137006086768e-12
"gene:AT1G01560",408.952225445754,7.79195029482395,0.646265813007515,12.0568814534111,1.78411296637135e-33,1.71703031883579e-31
"gene:AT1G01680",34.5337377322115,7.70144642652606,1.60616020336178,4.79494287705955,1.6272119211502e-06,2.02460084410466e-05
"gene:AT1G01740",72.7402389004364,2.25780223824325,0.75419210617615,2.99366994132383,0.00275643954030996,0.0150342726755132
"gene:AT1G02090",250.626679041805,1.49134884434006,0.385658016055218,3.86702410491717,0.000110171541812121,0.000926018269344848
"gene:AT1G02120",552.045658704136,1.4828935597229,0.418245341594548,3.54551124005209,0.000391852275421392,0.00284081830407192
"gene:AT1G02170",349.327366442924,2.07814227015237,0.417477608157847,4.97785325378847,6.42933700652283e-07,8.49944221851315e-06
"gene:AT1G02220",59.9107074066883,5.14537685858873,0.930236872005679,5.53125447230962,3.17948673229784e-08,5.04523995245415e-07
"gene:AT1G02360",26.3347756436202,4.86965886607802,1.52933648283225,3.18416445350187,0.0014517251084733,0.00876499525969077
"gene:AT1G02400",271.753590919346,6.10286853083521,1.62247993743751,3.76144468108115,0.000168934786646913,0.00135938828318553
"gene:AT1G02405",20.4368101515228,7.89606493931226,2.04744673307364,3.85654230303644,0.000115002203532302,0.000964935664162922
"gene:AT1G02450",35.9224954745698,5.55582384633414,1.29074730464324,4.30434665743484,1.67479246363511e-05,0.000172019238740921
"gene:AT1G02460",135.003985026309,4.5995215084714,0.806733939470516,5.70141069246473,1.18819981677015e-08,2.0167963027506e-07
"gene:AT1G02520",94.3765466562652,4.58081936634025,1.00461464768752,4.55977759918657,5.12078238481218e-06,5.85649550462655e-05
"gene:AT1G02750",158.191463127606,2.13609014731056,0.587932578577885,3.63322296661536,0.000279902945980485,0.00211029060095275
"gene:AT1G02920",788.940592103182,7.8286873110433,0.451012937615551,17.3580105094825,1.71566284798438e-67,5.69363422379368e-65
"gene:AT1G02930",2230.09943205063,7.17719866521117,0.298925286106269,24.0100085165082,2.18597730187424e-127,3.23659162357502e-124
"gene:AT1G03080",2465.86843159154,1.27188805921802,0.226857912950304,5.60654042293266,2.06410784799931e-08,3.35273821588951e-07
"gene:AT1G03220",573.98490826949,3.82800467792012,0.421026697693799,9.09207111778958,9.71701016719752e-20,4.31946909233759e-18
"gene:AT1G03230",148.591651635311,2.72305193270522,0.819277030526512,3.32372546921673,0.000888235885057411,0.00574874388553633
"gene:AT1G03370",501.465531859842,2.09361256032755,0.383508150699749,5.45910838272289,4.78531590475805e-08,7.38634807817025e-07
