"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0001666","response to hypoxia","17/80","269/20875",0.0631970260223048,16.4904739776952,15.8603354851827,2.20349552477285e-16,4.94860736566246e-14,3.18857635682238e-14,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19/ATEDS1/ALAAT2",17,"BP"
"GO:0036293","response to decreased oxygen levels","17/80","273/20875",0.0622710622710623,16.2488553113553,15.7301276325517,2.82119990278737e-16,4.94860736566246e-14,3.18857635682238e-14,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19/ATEDS1/ALAAT2",17,"BP"
"GO:0070482","response to oxygen levels","17/80","274/20875",0.062043795620438,16.189552919708,15.6980060581321,2.99915597918937e-16,4.94860736566246e-14,3.18857635682238e-14,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19/ATEDS1/ALAAT2",17,"BP"
"GO:0071456","cellular response to hypoxia","15/80","241/20875",0.0622406639004149,16.2409232365145,14.7603431655565,1.89927618776573e-14,1.76987546153893e-12,1.1403982240219e-12,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19",15,"BP"
"GO:0036294","cellular response to decreased oxygen levels","15/80","243/20875",0.0617283950617284,16.1072530864198,14.6921836322794,2.14530358974416e-14,1.76987546153893e-12,1.1403982240219e-12,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19",15,"BP"
"GO:0071453","cellular response to oxygen levels","15/80","243/20875",0.0617283950617284,16.1072530864198,14.6921836322794,2.14530358974416e-14,1.76987546153893e-12,1.1403982240219e-12,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19",15,"BP"
"GO:0009611","response to wounding","15/80","268/20875",0.0559701492537313,14.6047108208955,13.9032937000814,9.02812673348454e-14,6.38417533296407e-12,4.11356751916664e-12,"AtJAZ1/ATLOX4/ATWRKY40/AtPEPR2/HUP35/ACS6/anac081/STZ/AGC2/IAR3/ATPEPR1/JAZ5/ATPAL2/ATLOX3/EFD",15,"BP"
"GO:0006979","response to oxidative stress","16/80","458/20875",0.0349344978165939,9.11572052401747,10.8926168728062,1.65388009918694e-11,1.02333831137192e-09,6.59375881649531e-10,"AtBBE19/UGT74E2/AtLEA5/ATLOX4/ATGST1/NA/HUP35/ACS6/AtNUDT7/STZ/AGC2/ATWRKY70/ATPAL2/LRR/Prx37/ATEDS1",16,"BP"
"GO:0042430","indole-containing compound metabolic process","8/80","87/20875",0.0919540229885057,23.9942528735632,13.3303313899673,1.48784813248725e-09,8.18316472867986e-08,5.27272496074428e-08,"ATWRKY33/CYP71B15/UGT74E2/ABCG36/ATGSTU4/ATWRKY70/AIG2B/IGPS",8,"BP"
"GO:0009404","toxin metabolic process","7/80","61/20875",0.114754098360656,29.9436475409836,14.0413470640906,3.43032560451992e-09,1.69801117423736e-07,1.09409332438898e-07,"ATWRKY33/CYP71B15/ATGST1/ATGSTF2/ATGSTU4/ATWRKY70/ATGST11",7,"BP"
