"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:AT1G01010",48.309861725961,0.300518232825273,0.995690135242474,0.301819032034589,0.762790021599933,0.878856838007633
"gene:AT1G01020",74.1687494788763,-0.941104039270467,0.938050765096876,-1.00325491357952,0.315737883813969,0.526676228291727
"gene:AT1G01030",23.2476452658778,-0.163504320247903,1.64636322006308,-0.0993124228331817,0.920890215185692,0.965272279142526
"gene:AT1G01040",560.372274535062,-0.605096041198848,0.372718383715124,-1.62346712058436,0.104489586471071,0.254990023235175
"gene:AT1G01050",174.371795760605,-1.38188255313458,0.566473182505141,-2.43944920220833,0.0147096705911241,0.0595299650125771
"gene:AT1G01060",6.56840629969226,-3.15242666826892,2.60763089448966,-1.20892365362387,0.226692177841108,0.423418672037477
"gene:AT1G01070",0.518762099336443,-2.59968985431399,3.98725619422231,-0.651999702973949,0.514401364010634,NA
"gene:AT1G01080",239.103258689914,-0.643136104924132,0.386302653617028,-1.66485034182997,0.0959426174589961,0.240237218791565
"gene:AT1G01090",889.55105065799,-0.0963910012747488,0.242843321185967,-0.396926713092238,0.691421504722689,0.837348613978689
"gene:AT1G01100",1279.14138215043,-0.43468796694119,0.31457871764397,-1.38180983823945,0.167030097440707,0.347266722352423
"gene:AT1G01110",32.0766462287754,-1.25352945761124,1.3626654480305,-0.91990991583664,0.357619836695174,0.570863046666836
"gene:AT1G01120",28.0662635595707,-1.16236511769848,1.23912036009134,-0.938056669178447,0.348215288204587,0.561793679261254
"gene:AT1G01130",3.31937718229724,-1.89085404329089,3.23842386156124,-0.58388096312362,0.559300401857077,NA
"gene:AT1G01140",439.202775683451,-1.70623669892143,0.454163610055713,-3.75687673152,0.000172047189861419,0.00138154539443162
"gene:AT1G01150",1.06770803342779,3.63074678437465,3.95241851473534,0.918613950126629,0.358297532691261,NA
"gene:AT1G01160",182.4172280465,-0.810757007951209,0.490377822919578,-1.65333130916113,0.0982634543165692,0.244241225970874
"gene:AT1G01170",294.550516725359,-0.439243840248597,0.413152174873243,-1.06315267584725,0.287712719555893,0.495694094702096
"gene:AT1G01180",12.3628913689191,-0.909025663537658,2.20996783407641,-0.411329816443938,0.680830709146245,0.830721362259709
